'Species','Region','Range','Acorn_size','Tree_Height'
'Quercus alba L.','Atlantic',24196,1.4,27
'Quercus bicolor Willd.','Atlantic',7900,3.4,21
'Quercus macrocarpa Michx.','Atlantic',23038,9.1,25
'Quercus prinoides Willd.','Atlantic',17042,1.6,3
'Quercus Prinus L.','Atlantic',7646,10.5,24
'Quercus stellata Wang.','Atlantic',19938,2.5,17
'Quercus virginiana Mill','Atlantic',7985,0.9,15
'Quercus Michauxii Nutt.','Atlantic',8897,6.8,.30
'Quercus lyrata Walt.','Atlantic',8982,1.8,24
'Quercus Laceyi Small.','Atlantic',233,0.3,11
'Quercus Chapmanii Sarg.','Atlantic',1598,0.9,15
'Quercus Durandii Buckl.','Atlantic',1745,0.8,23
'Quercus Muehlenbergii Engelm','Atlantic',17042,2.0,24
'Quercus ilicifolia Wang.','Atlantic',4082,1.1,3
'Quercus incana Bartr.','Atlantic',3775,0.6,13
'Quercus falcata Michx.','Atlantic',13688,1.8,30
'Quercus laevis Walt.','Atlantic',3978,4.8,9
'Quercus laurifolia Michx.','Atlantic',5328,1.1,27
'Quercus marilandica Muenchh.','Atlantic',18480,3.6,9
'Quercus nigra L.','Atlantic',10161,1.1,24
'Quercus palustris Muenchh.','Atlantic',8643,1.1,23
'Quercus Phellos L.','Atlantic',9920,3.6,27
'Quercus rubra L.','Atlantic',28389,8.1,24
'Quercus velutina Lam.','Atlantic',21067,3.6,23
'Quercus imbricaria Michx.','Atlantic',14870,1.8,18
'Quercus myrtifolia Willd.','Atlantic',2540,0.4,9
'Quercus texana Buckl.','Atlantic',829,1.1,9
'Quercus coccinea Muenchh.','Atlantic',8992,1.2,4
'Quercus Douglasii Hook. & Arn','California',559,4.1,18
'Quercus dumosa Nutt.','California',433,1.6,6
'Quercus Engelmannii Greene','California',259,2.0,17
'Quercus Garryana Hook.','California',1061,5.5,20
'Quercus lobata Nee','California',870,5.9,30
'Quercus agrifolia Nee.','California',803,2.6,23
'Quercus Kelloggii Newb.','California',826,6.0,26
'Quercus Wislizenii A. DC.','California',699,1.0,21
'Quercus chrysolepis Liebm.','California',690,17.1,15
'Quercus vaccinifolia Engelm.','California',223,0.4,1
'Quercus tomentella Engelm','California',13,7.1,18
