'CO','source','date'
45,'refinery','4/16/93'
30,'refinery','4/17/93'
38,'refinery','4/18/93'
42,'refinery','4/19/93'
63,'refinery','4/20/93'
43,'refinery','4/21/93'
102,'refinery','4/22/93'
86,'refinery','4/23/93'
99,'refinery','4/24/93'
63,'refinery','4/25/93'
58,'refinery','4/26/93'
34,'refinery','4/27/93'
37,'refinery','4/28/93'
55,'refinery','4/29/93'
58,'refinery','4/30/93'
153,'refinery','5/1/93'
75,'refinery','5/2/93'
58,'refinery','5/3/93'
36,'refinery','5/4/93'
59,'refinery','5/5/93'
43,'refinery','5/6/93'
102,'refinery','5/7/93'
52,'refinery','5/8/93'
30,'refinery','5/9/93'
21,'refinery','5/10/93'
40,'refinery','5/11/93'
141,'refinery','5/12/93'
85,'refinery','5/13/93'
161,'refinery','5/14/93'
86,'refinery','5/15/93'
71,'refinery','5/16/93'
12.5,'BAAQMD','9/11/90'
20,'BAAQMD','10/4/90'
4,'BAAQMD','12/3/91'
20,'BAAQMD','12/10/91'
25,'BAAQMD','5/7/92'
170,'BAAQMD','8/6/92'
15,'BAAQMD','9/10/92'
20,'BAAQMD','9/22/92'
15,'BAAQMD','3/30/93'
